USER      PID   PPID  VSIZE  RSS   WCHAN            PC  NAME
root      1     0     8232   1488  SyS_epoll_ 00000000 S /init
root      2     0     0      0       kthreadd 00000000 S kthreadd
root      3     2     0      0     smpboot_th 00000000 S ksoftirqd/0
root      5     2     0      0     worker_thr 00000000 S kworker/0:0H
root      7     2     0      0     smpboot_th 00000000 S migration/0
root      8     2     0      0     rcu_gp_kth 00000000 S rcu_preempt
root      9     2     0      0     rcu_gp_kth 00000000 S rcu_bh
root      10    2     0      0     rcu_gp_kth 00000000 S rcu_sched
root      11    2     0      0     smpboot_th 00000000 S migration/1
root      12    2     0      0     smpboot_th 00000000 S ksoftirqd/1
root      14    2     0      0     worker_thr 00000000 S kworker/1:0H
root      15    2     0      0     smpboot_th 00000000 S migration/2
root      16    2     0      0     smpboot_th 00000000 S ksoftirqd/2
root      18    2     0      0     worker_thr 00000000 S kworker/2:0H
root      19    2     0      0     smpboot_th 00000000 S migration/3
root      20    2     0      0     smpboot_th 00000000 S ksoftirqd/3
root      22    2     0      0     worker_thr 00000000 S kworker/3:0H
root      23    2     0      0     rescuer_th 00000000 S khelper
root      24    2     0      0     rescuer_th 00000000 S netns
root      335   2     0      0     rescuer_th 00000000 S writeback
root      337   2     0      0     rescuer_th 00000000 S bioset
root      339   2     0      0     rescuer_th 00000000 S kblockd
root      437   2     0      0     rescuer_th 00000000 S ata_sff
root      448   2     0      0     hub_thread 00000000 S khubd
root      457   2     0      0     rescuer_th 00000000 S md
root      467   2     0      0     rescuer_th 00000000 S cfg80211
root      561   2     0      0     worker_thr 00000000 S kworker/3:1
root      582   2     0      0         kswapd 00000000 S kswapd0
root      650   2     0      0     fsnotify_m 00000000 S fsnotify_mark
root      669   2     0      0     rescuer_th 00000000 S crypto
root      799   2     0      0     rescuer_th 00000000 S iscsi_eh
root      813   2     0      0     scsi_error 00000000 S scsi_eh_0
root      816   2     0      0     scsi_error 00000000 S scsi_eh_1
root      872   2     0      0     rescuer_th 00000000 S uether
root      894   2     0      0     rescuer_th 00000000 S dm_bufio_cache
root      927   2     0      0     rescuer_th 00000000 S binder
root      930   2     0      0     rescuer_th 00000000 S hd-audio0
root      951   2     0      0     rescuer_th 00000000 S deferwq
